"Timestamp","What is your age group?","Gender: ","Region:","Games/platforms you customize avatars (characters) on:","Approximate spent per month on digital cosmetics:","“Customizing my avatar’s outfit helps me present my true self.” ","“Digital fashion lets me experiment with identities I couldn’t explore in the real world.”","“I choose digital garments that reflect my heritage or culture.” ","Have you ever selected a skin or digital cosmetic because you recognized its cultural origin? ","If yes, please specify:","“I’m concerned that many digital outfits borrow cultural motifs without credit.” ","“When I buy a skin inspired by a real-world tradition, I expect designers to explain its background.” ","Describe an example of a digital garment that felt misrepresentative to you. ","“Purchasing a digital dress or cosmetic feels like buying a piece of cultural art.” ","“Platforms benefit more from my digital-fashion purchases than I do.” ","To what degree do you feel agency over how you present yourself digitally? ","“After wearing a culturally inspired skin, I researched its real-world origins.” ","“Digital fashion has made me more aware of cultural diversity.” ","How has digital fashion changed the way you think about physical clothing and culture? "
"2025/05/21 7:01:42 PM GMT","25 to 34","Male","Europe","PC","5€","3","3","1","No","","4","5","","4","5","5","Sometimes","2",""
"2025/05/21 7:45:30 PM GMT","45 to 54","Male","Latin America & Caribbean","Roblox","200-300","6","5","4","No","","3","4","Sombreros","1","4","5","No","5","I pick things I think look good, so it doesn't really make me think."
"2025/05/21 11:11:08 PM GMT","18 to 24","Male","Europe","Valorant","nothing anymore. Used to be max €10 a month","5","2","2","No","","4","7","Don’t have any brother","1","7","2","Sometimes","4","It has taught me to appreciate different cultures more"
"2025/05/22 12:23:42 AM GMT","Less than 18","Male","Latin America & Caribbean","Ark, Fortnite","0","3","4","5","Yes","Aztec Warrior","1","2","","2","5","4","Sometimes","2","None"
"2025/05/22 5:41:00 AM GMT","18 to 24","Queer","North America","Oculus, Roblox, Minecraft, Sonic Forces, webkinz, snapchat ","0","4","6","4","No","","4","5","N/a","2","7","4","Sometimes","3","Simplicity of cultural clothing often predicts how common it will be in digital spaces. A t shirt is easier to model than a ruffled blouse, and a kimono is easier to model than a noh performer's costume. Cultures or parts of cultures with more simplified shaped clothing is easier to find online than more complex garments"
"2025/05/22 12:07:58 PM GMT","25 to 34","Male isn't gender, Man","North America","Any game that allows character creation/customization (Warframe, South Park Games, Baldur's Gate, Oblivion, Skyrim, Monster Hunter, Sea of Thieves))","1$","3","6","4","Yes","Hydroid Deluxe skin in warframe having strong Carribbean and Maori inspirations)","3","5","I'm sure there are but none come to mind","3","5","4","Sometimes","4","I approach digital fashion with my preexisting knowledge of physical clothing and culture, it's what drives me to enjoy or not a piece or a skin, etc. I have become more analytical when it comes to trends in digital fashion than physical, recurring themes that are more or less popular with age groups and communities"
"2025/05/22 12:20:47 PM GMT","","","Europe","Any that allows but mostly RPG’s","Usually £0-£30","5","7","7","Yes","I am an immigrant living in the U.K so if my culture happens to be represented in a game I always will pick the option!","3","7","There’s no examples that come to mind of that specifically, but in the original Resident Evil 4 the initial place in the game is based on Spain but it is done in a way that the architecture and even the accent and slang is completely wrong for the north of Spain, however, in the remaster they did fix these issues.","5","4","5","Yes","5","It has helped me visualise specific cultural garments that I have read about but did not research at the time, and it has also taught me about cultures I previously knew very little about"
"2025/05/22 2:10:53 PM GMT","18 to 24","Female","Europe","Monster hunter, destiny 2, dead by daylight ","40 euros","7","7","1","Yes","For instance lunar new year skins ","1","2","N/A","2","3","6","Sometimes","5",""
"2025/05/22 4:29:02 PM GMT","35 to 44","Male","East & Southeast Asia","All games that includes the feature, including but but limited to: MH series, Soulsborne series, Fantasy Life (3DS), Harvest Moon / Story of Seasons series, and a lot more. ","Almost zero. ","2","4","1","No","","1","1","None.","1","4","1","Sometimes","2","Probably minimal. Cool clothes in games sometime made me think ""Damn it'd be nice if i can wear that outside"", but then that'll be cosplay... But cultural-wise? Nah."
"2025/05/22 5:09:47 PM GMT","35 to 44","Male","North America","Diablo 4, space engineers ","2","3","5","2","Yes","Some Nordic/viking inspired pieces, esp on a barbarian build","6","5","Some of the somoan and API tattoos that appear, but are attributed mainly to demonic or otherworldly sources","3","6","3","Yes","5","It has made me painfully aware that as a cishet white guy I have very little style in my personal life"
"2025/05/22 7:49:41 PM GMT","55 to 64","Male","Europe","PC","0","1","5","1","No","","1","1","","1","7","1","No","1","No"
"2025/05/22 8:52:27 PM GMT","25 to 34","Female","Middle East & North Africa","Sims 4, facebook avatars","0 $","6","6","6","Yes","Clothes form sims 4 ","6","6","","1","6","4","Sometimes","6","Digital fashion makes it easier to see and experience other cultures by experiencing skins and clothes "
"2025/05/22 11:27:19 PM GMT","18 to 24","Male","North America","Stardew Valley, Skyrim, Fallout 4, The Sims 4, The Sims 3, Starfield, Pokemon Go","0","3","6","2","No","","1","2","","1","6","4","No","4",""
"2025/05/23 10:18:09 AM GMT","18 to 24","","Europe","sims, baldurs gate, paleo pines, stardew valley, star stable","0","7","7","3","Yes","only once. i bought a shirt with czech flag with in game currency. if there were more representation of czech clothing in games i think i would buy it more.","5","6","cannot thing of anything specific but it could be clothing for women characters that is made to look “sexy” and revealing but the creators say it is supposed to be accurate for that culture.","2","7","3","Sometimes","5","i think it gives me ideas for real life outfits and shows me new interesting cultures to look into. but most of the time i learn about cultures through videos that are hating at the cultural appropriation of games xd"
"2025/05/23 10:20:37 AM GMT","18 to 24","Male","Europe","Skyrim, Sims, World of Warcraft, Apex, Sea of Thieves, Terraria ","~5€","7","6","3","Yes","Rainbow 6: Siege ","4","5","“Fantasy woman armor”","3","5","5","Sometimes","6","Sometimes if I create outfit in the game, I feel the need or just really want the outfit I have created to have it irl."
"2025/05/23 11:54:12 AM GMT","25 to 34","Female","Europe","0","0","4","2","4","Yes","Slavic costume","5","2","I think everything is inspired by something. It's not very possible to Always make a new creation","6","4","4","","4",""
"2025/05/23 7:42:08 PM GMT","18 to 24","Female","Europe","Messenger, Instagram, Apple, FFXIV, World of Warcraft, ","0","7","7","2","Yes","Japanese hairstyles, jewelry, clothes. Medieval armor from different countries","6","4","","3","3","6","No","7","It allows people to express identity, mood, or aspirations without the limits of fabric, body type, or physical context."
"2025/05/25 6:43:42 PM GMT","18 to 24","Female","Middle East & North Africa","Fortnite/ balders gate 3","0 $","4","7","7","No","","7","4","The head dress of native Americans ","1","7","5","No","4","I guess digital fashion has shown, how different each culture has moulded it's clothing, not only to fit into it's environment but also to represent it's set of values, what I mostly don't like is that this façade of diversity doesn't come from a want of representing different identities. But a need to grow it's consumer bases and to make the brand more marketable."
"2025/05/27 10:39:40 AM GMT","18 to 24","Male","Middle East & North Africa","Fortnite / gta 5 ","20","5","3","3","Yes","A pharaoh skin 🤓","6","7","None","7","6","3","Sometimes","2",""
"2025/05/27 9:48:02 PM GMT","18 to 24","Male","Middle East & North Africa","cyberpunk2077 / Elden ring / souls games","0","5","7","4","Yes","cypher from valorant because he is Moroccan","5","5","assassin's creed shadows","6","7","7","Sometimes","7","It bridges the two together and allows for cultural expression to move beyond the physical realm and become accessible to everyone."
"2025/06/01 4:29:03 PM GMT","18 to 24","Female","North America","Fortnite, Roblox, The Sims 4","$15","6","5","3","Yes","Aztec warrior skin in Fortnite","5","7","The ‘Ninja’ outfit in Roblox used a vaguely Japanese design but with no context, it felt like a generic stereotype.","4","6","5","Yes","6","Seeing traditional patterns as in-game skins made me curious to learn about their real-world origins; now I pay more attention to how clothes tell stories."
"2025/06/01 4:31:20 PM GMT","25 to 34","Male","Europe","World of Warcraft, Elder Scrolls Online","$40","5","6","2","No","","4","5","The Viking armor in ESO looked cool, but the designers never noted its Norse background","3","5","6","No","5","Digital fashion makes me appreciate the craftsmanship behind real armor; it’s easier to spot what’s authentic versus just a fancy 3D mesh."
"2025/06/01 4:35:35 PM GMT","18 to 24","Non-binary","East & Southeast Asia","Genshin Impact, Honkai Impact 3rd","0","7","6","4","Yes","Sari-inspired skin for a character in Genshin Impact","6","6","Genshin’s ‘Indian Sari’ outfit for Mona had no cultural notes felty very superficial","2","7","4","Yes","4","I now notice how often developers lift cultural inspiration without context; it makes me less likely to spend unless they explain the design."
"2025/06/01 4:38:14 PM GMT","18 to 24","Female","Latin America & Caribbean","Roblox, Animal Crossing: New Horizons","around $10","6","4","3","Yes","Dia de los Muertos-themed skin in Roblox","5","6","The Day of the Dead outfit in Roblox lacked any description of the holiday’s significance, it just had skeleton freckles.","4","6","5","No","5","Digital fashion has shown me how globalized clothing can be, but also how context can get lost if designers don’t provide background notes."
"2025/06/01 4:42:01 PM GMT","35 to 44","Male","North America","Fortnite, Call of Duty: Warzone","$60","4","4","1","No","","3","2","The ‘Cossack’ skin in Warzone looked Eastern European but had no nod to real history just a generic action soldier","6","7","3","No","2","I’m more cynical now, if I see patterns borrowed from real cultures, I assume it’s just for profit rather than celebration or honoring of that culture."
"2025/06/01 4:44:26 PM GMT","18 to 24","Female","Europe","The Sims 4, roblox","20","7","5","5","Yes","Traditional Japanese kimono in The Sims 4","4","7","The kimono pack in Second Life refused to credit any specific era or region in Japan","5","5","6","Yes","6","Seeing a kimono digitally made me book a real-world exhibition on Japanese textiles to learn more about proper weaving techniques."
"2025/06/01 4:47:25 PM GMT","18 to 24","Male","South Asia","PUBG Mobile, Free Fire","$5 or less sometimes","3","1","1","No","","2","3","Ninja costume in PUBG was very stereotypical western representation of asian culture ","2","6","4","No","3","Digital fashion feels more about flexing status than culture, so I rarely pay attention to the origins of skins."
"2025/06/01 4:54:59 PM GMT","25 to 34","Female","Middle East & North Africa","Valorant, Apex Legends","$25 give or take ","5","4","2","No","","4","4","idk","3","6","5","No","4","I’ve become more aware that many global titles use African symbols or patterns without any  reference to their origins."
"2025/06/01 5:07:00 PM GMT","18 to 24","","Europe","Overwatch, Destiny 2","$30","6","5","2","Yes","Pharaoh-inspired skin in Overwatch","6","6","The ‘Pharaoh’ skin in Overwatch felt more like an ’80s pop culture nod than anything historically accurate","4","6","5","Yes","5",""
"2025/06/01 5:09:40 PM GMT","18 to 24","Female","North America","Roblox, Minecraft","8-10","7","5","5","No","","5","6","In Roblox, the ‘Native Headdress’ hat was just feathers slapped on hair, no cultural info, felt disrespectful.","3","6","6","Yes","7",""
"2025/06/01 6:06:04 PM GMT","35 to 44","Male","Europe","Guild Wars 2, The Elder Scrolls Online","$35","5","5","2","No","","3","3","GW2’s ‘Viking-inspired’ armor had runic designs but nothing about real Norse culture","3","5","5","No","3","I now pay more attention to in-game wardrobe teasers, comparing them to real museum exhibits."
"2025/06/01 6:10:31 PM GMT","18 to 24","Female","East & Southeast Asia","Genshin Impact, Honkai Star Rail","12-20","6","4","4","Yes","Museum collection-style Chinese hanfu outfit in Genshin","4","6","","2","6","4","Yes","5",""
"2025/06/01 6:13:35 PM GMT","25 to 34","Male","North America","Fortnite, Minecraft","50","4","4","2","No","","3","2","The ‘Samurai Armor’ in Fortnite just glued cherry blossoms onto armor","3","7","4","No","3","Now I’m more skeptical, if a digital sword looks like an artifact, I still wonder if it’s historically grounded or just stylized."
